Library,Feature Group,API Name,Auth,Subgroup,Call Name,Trimmed?,GDK?,Win32?,Switch?,PlayStation?,Linux?,Android?,iOS?,Macos?
PF Services,ScheduledTask,PFScheduledTaskAdminAbortTaskInstanceAsync,SecretKey,ScheduledTask,AdminAbortTaskInstance,false,No,No,No,No,No,No,No,No
PF Services,ScheduledTask,PFScheduledTaskAdminCreateActionsOnPlayersInSegmentTaskAsync,SecretKey,ScheduledTask,AdminCreateActionsOnPlayersInSegmentTask,false,No,No,No,No,No,No,No,No
PF Services,ScheduledTask,PFScheduledTaskAdminCreateCloudScriptTaskAsync,SecretKey,ScheduledTask,AdminCreateCloudScriptTask,false,No,No,No,No,No,No,No,No
PF Services,ScheduledTask,PFScheduledTaskAdminCreateInsightsScheduledScalingTaskAsync,SecretKey,ScheduledTask,AdminCreateInsightsScheduledScalingTask,false,No,No,No,No,No,No,No,No
PF Services,ScheduledTask,PFScheduledTaskAdminDeleteTaskAsync,SecretKey,ScheduledTask,AdminDeleteTask,false,No,No,No,No,No,No,No,No
PF Services,ScheduledTask,PFScheduledTaskAdminGetActionsOnPlayersInSegmentTaskInstanceAsync,SecretKey,ScheduledTask,AdminGetActionsOnPlayersInSegmentTaskInstance,false,No,No,No,No,No,No,No,No
PF Services,ScheduledTask,PFScheduledTaskAdminGetCloudScriptTaskInstanceAsync,SecretKey,ScheduledTask,AdminGetCloudScriptTaskInstance,false,No,No,No,No,No,No,No,No
PF Services,ScheduledTask,PFScheduledTaskAdminGetTaskInstancesAsync,SecretKey,ScheduledTask,AdminGetTaskInstances,false,No,No,No,No,No,No,No,No
PF Services,ScheduledTask,PFScheduledTaskAdminGetTasksAsync,SecretKey,ScheduledTask,AdminGetTasks,false,No,No,No,No,No,No,No,No
PF Services,ScheduledTask,PFScheduledTaskAdminRunTaskAsync,SecretKey,ScheduledTask,AdminRunTask,false,No,No,No,No,No,No,No,No
PF Services,ScheduledTask,PFScheduledTaskAdminUpdateTaskAsync,SecretKey,ScheduledTask,AdminUpdateTask,false,No,No,No,No,No,No,No,No
PF Services,TitleDataManagement,PFTitleDataManagementAdminAddLocalizedNewsAsync,SecretKey,Title-Wide Data Management,AdminAddLocalizedNews,false,No,No,No,No,No,No,No,No
PF Services,TitleDataManagement,PFTitleDataManagementAdminAddNewsAsync,SecretKey,Title-Wide Data Management,AdminAddNews,false,No,No,No,No,No,No,No,No
PF Services,TitleDataManagement,PFTitleDataManagementAdminAddVirtualCurrencyTypesAsync,SecretKey,Title-Wide Data Management,AdminAddVirtualCurrencyTypes,false,No,No,No,No,No,No,No,No
PF Services,TitleDataManagement,PFTitleDataManagementAdminDeleteStoreAsync,SecretKey,Title-Wide Data Management,AdminDeleteStore,false,No,No,No,No,No,No,No,No
PF Services,TitleDataManagement,PFTitleDataManagementAdminDeleteTitleDataOverrideAsync,SecretKey,Title-Wide Data Management,AdminDeleteTitleDataOverride,false,No,No,No,No,No,No,No,No
PF Services,TitleDataManagement,PFTitleDataManagementAdminGetCatalogItemsAsync,SecretKey,Title-Wide Data Management,AdminGetCatalogItems,false,No,No,No,No,No,No,No,No
PF Services,TitleDataManagement,PFTitleDataManagementAdminGetPublisherDataAsync,SecretKey,Title-Wide Data Management,AdminGetPublisherData,false,No,No,No,No,No,No,No,No
PF Services,TitleDataManagement,PFTitleDataManagementAdminGetRandomResultTablesAsync,SecretKey,Title-Wide Data Management,AdminGetRandomResultTables,false,No,No,No,No,No,No,No,No
